Location,Population
Americas,110855
Brazil,3800
Colombia,10385
El Salvador,6940
Guyana,2375
Haiti,1370
Jamaica,8695
Mexico,17990
Peru,1905
Trinidad and Tobago,3360
United States of America,30540
Other places of birth in Americas,23500
Europe,180590
Bosnia and Herzegovina,4335
Croatia,3405
France,2720
Germany,16635
Greece,1895
Hungary,3080
Italy,6990
Netherlands,12730
Poland,15595
Portugal,3730
Romania,7190
Russian Federation,7470
Serbia,2220
Ukraine,8915
United Kingdom,56675
Other places of birth in Europe,26990
Africa,119295
Algeria,1220
"Congo, Democratic Republic of the",3215
Egypt,6760
Eritrea,9720
Ethiopia,14420
Morocco,2130
Nigeria,21065
Somalia,8545
"South Africa, Republic of",8960
Other places of birth in Africa,43250
Asia,549965
Afghanistan,6585
Iran,8865
Iraq,6220
Lebanon,9960
Syria,9975
Turkey,2830
China,61390
Hong Kong,18725
"Korea, South",16180
Taiwan,3395
Philippines,167735
Viet Nam,27880
Bangladesh,6035
India,122150
Pakistan,30810
Sri Lanka,4930
Other places of birth in Asia,46305
Oceania and other places of birth,10275